seqnames	genes_in_operon_all	size_operon	operon_seen	covered_by	perc_seen	gene
NC_000913.3	b0002,b0003	2	6	19	31.5789473684211	b0002
NC_000913.3	b0002	1	13	19	68.4210526315789	b0002
NC_000913.3	b0003,b0004	2	18	50	36	b0003
NC_000913.3	b0003	1	26	50	52	b0003
NC_000913.3	b0002,b0003	2	6	50	12	b0003
NC_000913.3	b0004	1	14	32	43.75	b0004
NC_000913.3	b0003,b0004	2	18	32	56.25	b0004
NC_000913.3	b0005	1	8	9	88.8888888888889	b0005
NC_000913.3	b0007	1	19	22	86.3636363636364	b0007
NC_000913.3	b0008	1	22	22	100	b0008
NC_000913.3	b0009,b0010	2	7	11	63.6363636363636	b0009
NC_000913.3	b0009,b0010	2	7	115	6.08695652173913	b0010
NC_000913.3	b0010	1	108	115	93.9130434782609	b0010
NC_000913.3	b0014,b0015	2	25	199	12.5628140703518	b0014
NC_000913.3	b0014	1	169	199	84.9246231155779	b0014
NC_000913.3	b0015,b0016	2	62	226	27.4336283185841	b0015
NC_000913.3	b0015	1	134	226	59.2920353982301	b0015
NC_000913.3	b0014,b0015	2	25	226	11.0619469026549	b0015
NC_000913.3	b0016,b0018,b4412	3	7	105	6.66666666666667	b0016
NC_000913.3	b0016	1	31	105	29.5238095238095	b0016
NC_000913.3	b0015,b0016	2	62	105	59.0476190476191	b0016
NC_000913.3	b0016,b0018,b4412	3	7	24	29.1666666666667	b0018
NC_000913.3	b0018,b4412	2	16	24	66.6666666666667	b0018
NC_000913.3	b0019,b0020	2	9	35	25.7142857142857	b0019
NC_000913.3	b0019	1	25	35	71.4285714285714	b0019
NC_000913.3	b0019,b0020	2	9	15	60	b0020
NC_000913.3	b0021	1	7	9	77.7777777777778	b0021
NC_000913.3	b0023	1	38	38	100	b0023
NC_000913.3	b0025,b0026	2	45	141	31.9148936170213	b0025
NC_000913.3	b0025	1	95	141	67.3758865248227	b0025
NC_000913.3	b0026,b0027	2	59	248	23.7903225806452	b0026
NC_000913.3	b0026	1	138	248	55.6451612903226	b0026
NC_000913.3	b0025,b0026	2	45	248	18.1451612903226	b0026
NC_000913.3	b0026,b0027	2	59	84	70.2380952380952	b0027
NC_000913.3	b0027	1	15	84	17.8571428571429	b0027
NC_000913.3	b0028,b0029	2	11	34	32.3529411764706	b0028
NC_000913.3	b0028	1	14	34	41.1764705882353	b0028
NC_000913.3	b0029	1	12	27	44.4444444444444	b0029
NC_000913.3	b0028,b0029	2	11	27	40.7407407407407	b0029
NC_000913.3	b0030	1	7	8	87.5	b0030
NC_000913.3	b0031	1	82	84	97.6190476190476	b0031
NC_000913.3	b0033	1	6	8	75	b0033
NC_000913.3	b0034	1	14	17	82.3529411764706	b0034
NC_000913.3	b0035	1	9	12	75	b0035
NC_000913.3	b0045	1	7	8	87.5	b0045
NC_000913.3	b0047	1	11	12	91.6666666666667	b0047
NC_000913.3	b0048,b0049	2	13	16	81.25	b0048
NC_000913.3	b0049,b0050,b0051,b0052	4	11	93	11.8279569892473	b0049
NC_000913.3	b0049	1	63	93	67.741935483871	b0049
NC_000913.3	b0048,b0049	2	13	93	13.9784946236559	b0049
NC_000913.3	b0050,b0051,b0052	3	49	75	65.3333333333333	b0050
NC_000913.3	b0049,b0050,b0051,b0052	4	11	75	14.6666666666667	b0050
NC_000913.3	b0050,b0051	2	8	75	10.6666666666667	b0050
NC_000913.3	b0050,b0051,b0052	3	49	125	39.2	b0051
NC_000913.3	b0049,b0050,b0051,b0052	4	11	125	8.8	b0051
NC_000913.3	b0051,b0052	2	46	125	36.8	b0051
NC_000913.3	b0050,b0051	2	8	125	6.4	b0051
NC_000913.3	b0052,b0053	2	11	140	7.85714285714286	b0052
NC_000913.3	b0052	1	22	140	15.7142857142857	b0052
NC_000913.3	b0050,b0051,b0052	3	49	140	35	b0052
NC_000913.3	b0049,b0050,b0051,b0052	4	11	140	7.85714285714286	b0052
NC_000913.3	b0051,b0052	2	46	140	32.8571428571429	b0052
NC_000913.3	b0053	1	12	27	44.4444444444444	b0053
NC_000913.3	b0052,b0053	2	11	27	40.7407407407407	b0053
NC_000913.3	b0054	1	12	16	75	b0054
NC_000913.3	b0055	1	11	13	84.6153846153846	b0055
NC_000913.3	b0058,b0059	2	17	58	29.3103448275862	b0058
NC_000913.3	b0058	1	41	58	70.6896551724138	b0058
NC_000913.3	b0058,b0059	2	17	74	22.972972972973	b0059
NC_000913.3	b0059	1	57	74	77.027027027027	b0059
NC_000913.3	b0060	1	20	20	100	b0060
NC_000913.3	b0064	1	6	8	75	b0064
NC_000913.3	b0065,b0066	2	8	55	14.5454545454545	b0065
NC_000913.3	b0065	1	45	55	81.8181818181818	b0065
NC_000913.3	b0065,b0066	2	8	14	57.1428571428571	b0066
NC_000913.3	b0067,b0068	2	46	48	95.8333333333333	b0067
NC_000913.3	b0068	1	108	154	70.1298701298701	b0068
NC_000913.3	b0067,b0068	2	46	154	29.8701298701299	b0068
NC_000913.3	b0070	1	71	76	93.4210526315789	b0070
NC_000913.3	b0071	1	22	28	78.5714285714286	b0071
NC_000913.3	b0080	1	66	67	98.5074626865672	b0080
NC_000913.3	b0081,b0082,b0083	3	7	259	2.7027027027027	b0081
NC_000913.3	b0081,b0082	2	104	259	40.1544401544402	b0081
NC_000913.3	b0081	1	147	259	56.7567567567568	b0081
NC_000913.3	b0082,b0083,b0084	3	6	222	2.7027027027027	b0082
NC_000913.3	b0082,b0083	2	33	222	14.8648648648649	b0082
NC_000913.3	b0081,b0082,b0083	3	7	222	3.15315315315315	b0082
NC_000913.3	b0081,b0082	2	104	222	46.8468468468468	b0082
NC_000913.3	b0082	1	72	222	32.4324324324324	b0082
NC_000913.3	b0082,b0083,b0084	3	6	49	12.2448979591837	b0083
NC_000913.3	b0082,b0083	2	33	49	67.3469387755102	b0083
NC_000913.3	b0081,b0082,b0083	3	7	49	14.2857142857143	b0083
NC_000913.3	b0084	1	88	99	88.8888888888889	b0084
NC_000913.3	b0082,b0083,b0084	3	6	99	6.06060606060606	b0084
NC_000913.3	b0085,b0086	2	8	32	25	b0085
NC_000913.3	b0085	1	17	32	53.125	b0085
NC_000913.3	b0086,b0087	2	13	136	9.55882352941176	b0086
NC_000913.3	b0086	1	110	136	80.8823529411765	b0086
NC_000913.3	b0085,b0086	2	8	136	5.88235294117647	b0086
NC_000913.3	b0087	1	18	41	43.9024390243902	b0087
NC_000913.3	b0086,b0087	2	13	41	31.7073170731707	b0087
NC_000913.3	b0088	1	9	20	45	b0088
NC_000913.3	b0089,b0090	2	15	49	30.6122448979592	b0089
NC_000913.3	b0089	1	29	49	59.1836734693878	b0089
NC_000913.3	b0090,b0091	2	9	46	19.5652173913043	b0090
NC_000913.3	b0090	1	22	46	47.8260869565217	b0090
NC_000913.3	b0089,b0090	2	15	46	32.6086956521739	b0090
NC_000913.3	b0091,b0092	2	16	53	30.188679245283	b0091
NC_000913.3	b0091	1	23	53	43.3962264150943	b0091
NC_000913.3	b0090,b0091	2	9	53	16.9811320754717	b0091
NC_000913.3	b0092	1	25	54	46.2962962962963	b0092
NC_000913.3	b0091,b0092	2	16	54	29.6296296296296	b0092
NC_000913.3	b0093,b0094	2	20	57	35.0877192982456	b0093
NC_000913.3	b0093	1	24	57	42.1052631578947	b0093
NC_000913.3	b0094,b0095,b0096	3	7	128	5.46875	b0094
NC_000913.3	b0094,b0095	2	31	128	24.21875	b0094
NC_000913.3	b0094	1	65	128	50.78125	b0094
NC_000913.3	b0093,b0094	2	20	128	15.625	b0094
NC_000913.3	b0095,b0096	2	25	120	20.8333333333333	b0095
NC_000913.3	b0094,b0095,b0096	3	7	120	5.83333333333333	b0095
NC_000913.3	b0095	1	57	120	47.5	b0095
NC_000913.3	b0094,b0095	2	31	120	25.8333333333333	b0095
NC_000913.3	b0096,b0097	2	20	499	4.00801603206413	b0096
NC_000913.3	b0096	1	445	499	89.1783567134269	b0096
NC_000913.3	b0095,b0096	2	25	499	5.01002004008016	b0096
NC_000913.3	b0094,b0095,b0096	3	7	499	1.40280561122244	b0096
NC_000913.3	b0097,b0098	2	9	54	16.6666666666667	b0097
NC_000913.3	b0097	1	23	54	42.5925925925926	b0097
NC_000913.3	b0096,b0097	2	20	54	37.037037037037	b0097
NC_000913.3	b0098	1	113	124	91.1290322580645	b0098
NC_000913.3	b0097,b0098	2	9	124	7.25806451612903	b0098
NC_000913.3	b0101,b0102	2	19	22	86.3636363636364	b0101
NC_000913.3	b0101,b0102	2	19	44	43.1818181818182	b0102
