gene	type_fine	counts	method	rpkm	TPM_hand	salmon_tpm
b2621	ncRNA	18730	RNA001_Ecoli_TEX_replicate1	478895.340581008	68054.9568752497	2420.274478
b3556	CDS	4346	RNA001_Ecoli_TEX_replicate1	189742.782832443	167942.731504771	5972.933384
b1677	CDS	2512	RNA001_Ecoli_TEX_replicate1	98518.7826529759	66408.0372702088	2361.749507
b3123	ncRNA	2377	RNA001_Ecoli_TEX_replicate1	58513.0506996261	7684.68181142255	273.295168
b0623	CDS	2332	RNA001_Ecoli_TEX_replicate1	103274.634044873	94045.6121978537	3344.584557
b3339	CDS	1879	RNA001_Ecoli_TEX_replicate1	14688.8055760613	825.117120490799	29.344164
b3980	CDS	1794	RNA001_Ecoli_TEX_replicate1	14024.330603222	787.791439148746	28.016727
b2215	CDS	1737	RNA001_Ecoli_TEX_replicate1	14575.9110974484	835.107486419918	29.699458
b4203	CDS	1261	RNA001_Ecoli_TEX_replicate1	25994.4211148581	2588.7226294781	92.064386
b0957	CDS	1156	RNA001_Ecoli_TEX_replicate1	10288.1171179317	600.042179450756	21.339681
b3230	CDS	979	RNA001_Ecoli_TEX_replicate1	23115.7521643805	2810.91092568231	99.966209
b3300	CDS	917	RNA001_Ecoli_TEX_replicate1	6376.79836753406	347.970561642597	12.375098
b2911	ncRNA	903	RNA001_Ecoli_TEX_replicate1	45922.737308415	51237.6993878682	1822.226635
b3311	CDS	845	RNA001_Ecoli_TEX_replicate1	30791.75177519	16073.301277479	571.628237
b3936	CDS	775	RNA001_Ecoli_TEX_replicate1	33835.8621019658	29948.3702062121	1065.122727
b3320	CDS	732	RNA001_Ecoli_TEX_replicate1	10771.392224076	790.911542542664	28.127689
b3165	CDS	693	RNA001_Ecoli_TEX_replicate1	23844.7272650074	9819.29353868487	349.208385
b3175	CDS	689	RNA001_Ecoli_TEX_replicate1	19208.4597959967	3406.7696583663	121.157506
b4202	CDS	678	RNA001_Ecoli_TEX_replicate1	27644.9138842584	20836.446964748	741.046926
b3340	CDS	665	RNA001_Ecoli_TEX_replicate1	2911.57557245713	146.400728695506	5.206542
b4443	ncRNA	655	RNA001_Ecoli_TEX_replicate1	29718.2024761479	28296.6681470426	1006.340654
b2185	CDS	648	RNA001_Ecoli_TEX_replicate1	21118.7432626972	6831.26958703251	242.946939
b3321	CDS	597	RNA001_Ecoli_TEX_replicate1	17767.460018974	3925.58974669309	139.60823
b3319	CDS	583	RNA001_Ecoli_TEX_replicate1	8919.17294023902	672.386501254458	23.912508
b3312	CDS	581	RNA001_Ecoli_TEX_replicate1	28154.9117164218	29651.7625179692	1054.56711
b4201	CDS	579	RNA001_Ecoli_TEX_replicate1	17067.1230790717	3639.20250547328	129.423725
b1823	CDS	571	RNA001_Ecoli_TEX_replicate1	25287.2281473509	23027.4633640542	818.935584
b0911	CDS	560	RNA001_Ecoli_TEX_replicate1	3098.1574908859	161.46502603023	5.742283
b4200	CDS	539	RNA001_Ecoli_TEX_replicate1	12629.9919662472	1515.78057997968	53.906667
b3231	CDS	513	RNA001_Ecoli_TEX_replicate1	11093.9192606614	1176.69731739221	41.847633
b0169	CDS	497	RNA001_Ecoli_TEX_replicate1	6344.97312482586	428.696428355052	15.246003
b3313	CDS	481	RNA001_Ecoli_TEX_replicate1	10858.5697254498	1226.64708062611	43.624029
b3308	CDS	469	RNA001_Ecoli_TEX_replicate1	8053.70063336946	664.011000150525	23.614645
b3310	CDS	468	RNA001_Ecoli_TEX_replicate1	11675.7113096553	1575.02137335156	56.013457
b3301	CDS	466	RNA001_Ecoli_TEX_replicate1	9938.19678542414	1034.2240138344	36.780765
b3317	CDS	466	RNA001_Ecoli_TEX_replicate1	5253.56565758109	334.495528949938	11.895877
b0990	CDS	457	RNA001_Ecoli_TEX_replicate1	19952.2438459334	17659.8776570825	628.078821
b3986	CDS	453	RNA001_Ecoli_TEX_replicate1	11487.2677077309	1603.3954321332	57.022475
b3309	CDS	421	RNA001_Ecoli_TEX_replicate1	12409.7734305513	2646.1213381766	94.106024
b3318	CDS	407	RNA001_Ecoli_TEX_replicate1	12473.8027156848	3093.02895530701	109.999481
b3305	CDS	402	RNA001_Ecoli_TEX_replicate1	6980.88122442156	581.17662991042	20.668753
b4723	CDS	375	RNA001_Ecoli_TEX_replicate1	18462.2583191921	19843.8504363925	705.699228
b3303	CDS	375	RNA001_Ecoli_TEX_replicate1	6900.40668788888	606.174943054998	21.557784
b1557	CDS	368	RNA001_Ecoli_TEX_replicate1	15842.3923045579	13613.330757062	484.151228
b3294	CDS	368	RNA001_Ecoli_TEX_replicate1	8893.2489438119	1127.56983636292	40.10048
b3306	CDS	365	RNA001_Ecoli_TEX_replicate1	8618.23242083646	1047.99028383457	37.270343
b1094	CDS	363	RNA001_Ecoli_TEX_replicate1	14236.5916015248	9596.38436667429	341.287847
b0170	CDS	360	RNA001_Ecoli_TEX_replicate1	3915.4740087518	245.531059990915	8.731977
b3163	CDS	352	RNA001_Ecoli_TEX_replicate1	3685.54572105838	227.598485285716	8.094229
b0014	CDS	350	RNA001_Ecoli_TEX_replicate1	1690.7677068933	86.2050828835661	3.065766
b1779	CDS	348	RNA001_Ecoli_TEX_replicate1	3237.18536221058	191.531780398632	6.811566
b1716	CDS	341	RNA001_Ecoli_TEX_replicate1	8865.75622716678	1308.47964705042	46.534308
b3342	CDS	340	RNA001_Ecoli_TEX_replicate1	8414.31409456511	1116.78438575423	39.716901
b3307	CDS	338	RNA001_Ecoli_TEX_replicate1	10257.1868208502	2443.90038266714	86.913591
b3985	CDS	335	RNA001_Ecoli_TEX_replicate1	6238.78218077916	554.617482844621	19.724214
b0903	CDS	334	RNA001_Ecoli_TEX_replicate1	1354.69719471657	67.4542809890327	2.398919
b3295	CDS	322	RNA001_Ecoli_TEX_replicate1	3013.49853619309	178.658869342638	6.353759
b1824	CDS	321	RNA001_Ecoli_TEX_replicate1	20776.8832642723	26848.0303155001	954.88098
b3341	CDS	320	RNA001_Ecoli_TEX_replicate1	5495.06226583844	453.056545944921	16.112338
b3304	CDS	315	RNA001_Ecoli_TEX_replicate1	8259.37629962269	1243.56729534253	44.225942
b3314	CDS	301	RNA001_Ecoli_TEX_replicate1	3974.29300529316	273.418873724642	9.723769
b1718	CDS	288	RNA001_Ecoli_TEX_replicate1	4918.18211283806	403.575967548206	14.352628
b0814	CDS	278	RNA001_Ecoli_TEX_replicate1	4996.30534003497	429.105013323303	15.260534
